locationTarget,locationVisited,timestamp,value
California_UnitedStates,Arizona_UnitedStates,2020-01-20T00:00:00.000Z,0.021894999999999998
California_UnitedStates,Arizona_UnitedStates,2020-01-21T00:00:00.000Z,0.021116
California_UnitedStates,Arizona_UnitedStates,2020-01-22T00:00:00.000Z,0.020756999999999998
California_UnitedStates,Arizona_UnitedStates,2020-01-23T00:00:00.000Z,0.020877
California_UnitedStates,Arizona_UnitedStates,2020-01-24T00:00:00.000Z,0.021322999999999998
California_UnitedStates,Arizona_UnitedStates,2020-01-25T00:00:00.000Z,0.020998
California_UnitedStates,Arizona_UnitedStates,2020-01-26T00:00:00.000Z,0.021608000000000002
California_UnitedStates,Arizona_UnitedStates,2020-01-27T00:00:00.000Z,0.020861
California_UnitedStates,Arizona_UnitedStates,2020-01-28T00:00:00.000Z,0.021179
California_UnitedStates,Arizona_UnitedStates,2020-01-29T00:00:00.000Z,0.020572999999999998
California_UnitedStates,Arizona_UnitedStates,2020-01-30T00:00:00.000Z,0.020509
California_UnitedStates,Arizona_UnitedStates,2020-01-31T00:00:00.000Z,0.021023
California_UnitedStates,Arizona_UnitedStates,2020-02-01T00:00:00.000Z,0.020898
California_UnitedStates,Arizona_UnitedStates,2020-02-02T00:00:00.000Z,0.021178
California_UnitedStates,Arizona_UnitedStates,2020-02-03T00:00:00.000Z,0.020659
California_UnitedStates,Arizona_UnitedStates,2020-02-04T00:00:00.000Z,0.020061000000000002
California_UnitedStates,Arizona_UnitedStates,2020-02-05T00:00:00.000Z,0.019808000000000003
California_UnitedStates,Arizona_UnitedStates,2020-02-06T00:00:00.000Z,0.020015
California_UnitedStates,Arizona_UnitedStates,2020-02-07T00:00:00.000Z,0.020231
California_UnitedStates,Arizona_UnitedStates,2020-02-08T00:00:00.000Z,0.020108
California_UnitedStates,Arizona_UnitedStates,2020-02-09T00:00:00.000Z,0.020524
California_UnitedStates,Arizona_UnitedStates,2020-02-10T00:00:00.000Z,0.019791999999999997
