Alabama_UnitedStates,Alaska_UnitedStates,Arizona_UnitedStates,Arkansas_UnitedStates,California_UnitedStates,Connecticut_UnitedStates,Delaware_UnitedStates,DistrictofColumbia_UnitedStates,Florida_UnitedStates,Georgia_UnitedStates,Hawaii_UnitedStates,Idaho_UnitedStates,Illinois_UnitedStates,Indiana_UnitedStates,Iowa_UnitedStates,Kansas_UnitedStates,Kentucky_UnitedStates,Louisiana_UnitedStates,Maine_UnitedStates,Maryland_UnitedStates,Michigan_UnitedStates,Minnesota_UnitedStates,Missouri_UnitedStates,Montana_UnitedStates,Nebraska_UnitedStates,Nevada_UnitedStates,NewHampshire_UnitedStates,NewJersey_UnitedStates,NewMexico_UnitedStates,NewYork_UnitedStates,NorthCarolina_UnitedStates,NorthDakota_UnitedStates,Ohio_UnitedStates,Oklahoma_UnitedStates,Oregon_UnitedStates,Pennsylvania_UnitedStates,RhodeIsland_UnitedStates,SouthCarolina_UnitedStates,SouthDakota_UnitedStates,Tennessee_UnitedStates,Texas_UnitedStates,Utah_UnitedStates,Vermont_UnitedStates,Virginia_UnitedStates,Washington_UnitedStates,Wisconsin_UnitedStates,Wyoming_UnitedStates
0.0,0.0,0.021023,0.001523,0.990784,0.001232,0.000371,0.0006259999999999999,0.005414,0.0,0.002633,0.002108,0.005923,0.002873,0.00204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007019999999999999,0.0,0.029831,0.0,0.0,0.0,0.0,0.0,0.000245,0.0,0.0,0.006768000000000001,0.003337,0.000256,0.0,0.000394,0.0,0.0,0.0,0.000219,0.002713,0.0,0.001926,0.001283
0.0,0.0,0.020898,0.001368,0.991444,0.001255,0.000368,0.000595,0.005215999999999999,0.0,0.002696,0.002069,0.005733,0.002713,0.0019760000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007099999999999999,0.0,0.030123,0.0,0.0,0.0,0.0,0.0,0.000244,0.0,0.0,0.0067480000000000005,0.003194,0.000261,0.0,0.000383,0.0,0.0,0.0,0.000229,0.002498,0.0,0.001917,0.001178
0.0,0.0,0.021178,0.001484,0.992468,0.001283,0.000368,0.000605,0.005321,0.0,0.002594,0.002073,0.005911,0.002825,0.002044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006889999999999999,0.0,0.0303,0.0,0.0,0.0,0.0,0.0,0.000268,0.0,0.0,0.006776000000000001,0.003333,0.000266,0.0,0.000406,0.0,0.0,0.0,0.000241,0.0026030000000000003,0.0,0.002003,0.001188
0.0,0.0,0.020659,0.001604,0.991931,0.001369,0.000359,0.000602,0.005592,0.0,0.002498,0.002133,0.006092,0.002972,0.002206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000739,0.0,0.02918,0.0,0.0,0.0,0.0,0.0,0.000291,0.0,0.0,0.006682,0.003484000000000001,0.000281,0.0,0.000429,0.0,0.0,0.0,0.000257,0.002702,0.0,0.002104,0.001335
0.0,0.0,0.020061,0.001649,0.991336,0.001486,0.000369,0.000595,0.005762,0.0,0.002458,0.002108,0.006046,0.002942,0.002217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007700000000000001,0.0,0.027065,0.0,0.0,0.0,0.0,0.0,0.00027400000000000005,0.0,0.0,0.006458,0.003468,0.000308,0.0,0.000452,0.0,0.0,0.0,0.000294,0.002696,0.0,0.002088,0.001383
0.0,0.0,0.019808000000000003,0.001535,0.992219,0.001405,0.00037,0.000605,0.005729,0.0,0.002438,0.002112,0.005961,0.002821,0.002113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000766,0.0,0.026887,0.0,0.0,0.0,0.0,0.0,0.000264,0.0,0.0,0.006458,0.003344,0.000281,0.0,0.000429,0.0,0.0,0.0,0.000277,0.002605,0.0,0.002016,0.001301
0.0,0.0,0.020015,0.001532,0.992248,0.001308,0.000344,0.000607,0.005788000000000001,0.0,0.002348,0.002133,0.005924,0.002748,0.002106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000775,0.0,0.027061,0.0,0.0,0.0,0.0,0.0,0.000291,0.0,0.0,0.006579000000000001,0.00331,0.000275,0.0,0.000446,0.0,0.0,0.0,0.000273,0.002684,0.0,0.001922,0.001333
0.0,0.0,0.020231,0.001494,0.99144,0.0012779999999999998,0.000332,0.000615,0.005696,0.0,0.002313,0.00206,0.005819,0.002606,0.002014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007559999999999999,0.0,0.027652,0.0,0.0,0.0,0.0,0.0,0.00027400000000000005,0.0,0.0,0.0066040000000000005,0.003132,0.000264,0.0,0.00041,0.0,0.0,0.0,0.00028700000000000004,0.002639,0.0,0.001845,0.001243
0.0,0.0,0.020108,0.0014210000000000002,0.99218,0.001315,0.000343,0.000593,0.005602,0.0,0.002392,0.002094,0.005744,0.002552,0.001941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000758,0.0,0.028327,0.0,0.0,0.0,0.0,0.0,0.000277,0.0,0.0,0.006681,0.003123,0.00027,0.0,0.00039,0.0,0.0,0.0,0.000298,0.002517,0.0,0.001855,0.00117
0.0,0.0,0.020524,0.001499,0.992669,0.001411,0.000344,0.000612,0.005767,0.0,0.00244,0.002123,0.006023,0.002684,0.002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000796,0.0,0.02909,0.0,0.0,0.0,0.0,0.0,0.000277,0.0,0.0,0.006761,0.0032380000000000004,0.000278,0.0,0.000421,0.0,0.0,0.0,0.000313,0.002641,0.0,0.001987,0.001206
0.0,0.0,0.019792,0.001643,0.992318,0.001484,0.000364,0.000606,0.005865,0.0,0.0022960000000000003,0.002174,0.006205,0.002879,0.002142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000792,0.0,0.026526,0.0,0.0,0.0,0.0,0.0,0.000308,0.0,0.0,0.006531,0.0034630000000000004,0.000268,0.0,0.000425,0.0,0.0,0.0,0.000333,0.002745,0.0,0.002058,0.001309
0.0,0.0,0.01946,0.0015810000000000002,0.993043,0.001552,0.000355,0.000598,0.005707,0.0,0.00224,0.0021620000000000003,0.006152,0.002898,0.002132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007769999999999999,0.0,0.02561,0.0,0.0,0.0,0.0,0.0,0.000313,0.0,0.0,0.006475,0.003426,0.00028,0.0,0.000449,0.0,0.0,0.0,0.00034,0.002726,0.0,0.002076,0.001373
0.0,0.0,0.018986000000000003,0.001509,0.992441,0.001591,0.000378,0.000618,0.005692,0.0,0.0022670000000000004,0.002129,0.006038,0.002838,0.001989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000791,0.0,0.025086,0.0,0.0,0.0,0.0,0.0,0.00032,0.0,0.0,0.006348,0.003462,0.000269,0.0,0.000456,0.0,0.0,0.0,0.000382,0.002772,0.0,0.002063,0.00129
0.0,0.0,0.019211,0.001451,0.99048,0.001673,0.000376,0.000627,0.005634,0.0,0.002276,0.002076,0.00608,0.002786,0.001892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007639999999999999,0.0,0.025023,0.0,0.0,0.0,0.0,0.0,0.000301,0.0,0.0,0.006326,0.00346,0.000271,0.0,0.000469,0.0,0.0,0.0,0.000361,0.002782,0.0,0.002057,0.001249
0.0,0.0,0.021187,0.001559,0.98836,0.001673,0.000389,0.000629,0.005874,0.0,0.00231,0.002196,0.006149,0.002794,0.001899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000814,0.0,0.026881,0.0,0.0,0.0,0.0,0.0,0.00034,0.0,0.0,0.0068390000000000005,0.0034630000000000004,0.000255,0.0,0.000471,0.0,0.0,0.0,0.000364,0.002856,0.0,0.002022,0.001299
0.0,0.0,0.021435,0.0014609999999999998,0.989897,0.001713,0.000393,0.000597,0.005834000000000001,0.0,0.002407,0.002243,0.006021,0.002744,0.001806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008039999999999999,0.0,0.028166000000000007,0.0,0.0,0.0,0.0,0.0,0.000319,0.0,0.0,0.007109000000000002,0.003406,0.000266,0.0,0.000469,0.0,0.0,0.0,0.000391,0.002759,0.0,0.001996,0.001193
0.0,0.0,0.022205000000000003,0.0014960000000000002,0.991781,0.0016989999999999998,0.000373,0.000644,0.005879,0.0,0.002539,0.002289,0.0062,0.002782,0.001803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008060000000000001,0.0,0.030505,0.0,0.0,0.0,0.0,0.0,0.000324,0.0,0.0,0.007210999999999999,0.0035090000000000004,0.000271,0.0,0.000489,0.0,0.0,0.0,0.000418,0.002811,0.0,0.00206,0.001173
0.0,0.0,0.02296,0.001663,0.99209,0.001682,0.000385,0.000684,0.006005,0.0,0.002584,0.00235,0.006552,0.003011,0.001897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008869999999999998,0.0,0.032571,0.0,0.0,0.0,0.0,0.0,0.000328,0.0,0.0,0.007508,0.003621,0.000267,0.0,0.000515,0.0,0.0,0.0,0.000445,0.002925,0.0,0.0,0.001226
0.0,0.0,0.021657,0.001645,0.992299,0.001625,0.000391,0.000704,0.00558,0.0,0.002657,0.002351,0.006468000000000001,0.003036,0.001905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.031005,0.0,0.0,0.0,0.0,0.0,0.00034700000000000003,0.0,0.0,0.0073799999999999985,0.003652,0.000285,0.0,0.000533,0.0,0.0,0.0,0.0004150000000000001,0.002951,0.0,0.0,0.001274
0.0,0.0,0.021797,0.00155,0.992175,0.001638,0.000389,0.000692,0.005576,0.0,0.002712,0.00235,0.006475,0.003007,0.001819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000911,0.0,0.030901,0.0,0.0,0.0,0.0,0.0,0.00034700000000000003,0.0,0.0,0.00732,0.003558,0.00029,0.0,0.000526,0.0,0.0,0.0,0.000417,0.002952,0.0,0.0,0.001262
0.0,0.0,0.022099,0.001527,0.991637,0.0016170000000000002,0.000395,0.0007070000000000001,0.005582,0.0,0.002688,0.002387,0.006421,0.002916,0.001791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008849999999999998,0.0,0.031195,0.0,0.0,0.0,0.0,0.0,0.000302,0.0,0.0,0.007342,0.003576,0.00027400000000000005,0.0,0.000526,0.0,0.0,0.0,0.000411,0.002971,0.0,0.0,0.001273
0.0,0.0,0.022693,0.001505,0.990733,0.0015810000000000002,0.000399,0.000718,0.005579,0.0,0.002828,0.002317,0.006403,0.002845,0.0017280000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000865,0.0,0.031986,0.0,0.0,0.0,0.0,0.0,0.00029,0.0,0.0,0.007483,0.0035060000000000004,0.000272,0.0,0.000522,0.0,0.0,0.0,0.000403,0.002975,0.0,0.0,0.001255
0.0,0.0,0.022354,0.001425,0.992088,0.001446,0.000405,0.000718,0.005497,0.0,0.003079,0.00229,0.006224,0.002695,0.001669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000859,0.0,0.032533,0.0,0.0,0.0,0.0,0.0,0.000268,0.0,0.0,0.007555,0.003377,0.00027400000000000005,0.0,0.000478,0.0,0.0,0.0,0.000389,0.002869,0.0,0.0,0.001155
0.0,0.0,0.022928,0.001463,0.993306,0.001374,0.000395,0.0007559999999999999,0.005591,0.0,0.003216,0.0023710000000000003,0.006229,0.002696,0.001628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008730000000000001,0.0,0.035039999999999995,0.0,0.0,0.0,0.0,0.0,0.000264,0.0,0.0,0.007776999999999998,0.0033880000000000004,0.000258,0.0,0.000493,0.0,0.0,0.0,0.000388,0.002998,0.0,0.0,0.001181
0.0,0.0,0.02237,0.0016879999999999998,0.99059,0.001462,0.00044,0.000754,0.00572,0.0,0.003171,0.002462,0.006648,0.00305,0.001872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000954,0.0,0.033198000000000005,0.0,0.0,0.0,0.0,0.0,0.000291,0.0,0.0,0.007504,0.003727,0.00029,0.0,0.000531,0.0,0.0,0.0,0.000409,0.003195,0.0,0.0,0.001365
0.0,0.0,0.02196,0.0016079999999999998,0.992711,0.001437,0.000443,0.000733,0.00554,0.0,0.003187,0.002442,0.006391,0.0029230000000000003,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000932,0.0,0.03265,0.0,0.0,0.0,0.0,0.0,0.000314,0.0,0.0,0.007403,0.003542,0.000279,0.0,0.000496,0.0,0.0,0.0,0.000372,0.00309,0.0,0.0,0.001367
0.0,0.0,0.022022,0.001598,0.992902,0.001385,0.000446,0.0007440000000000001,0.005526,0.0,0.003136,0.002455,0.006184,0.002832,0.0017219999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000939,0.0,0.032932,0.0,0.0,0.0,0.0,0.0,0.000288,0.0,0.0,0.0074,0.003482,0.00028700000000000004,0.0,0.000495,0.0,0.0,0.0,0.000371,0.003038,0.0,0.0,0.001322
