location.id,month,coronavirusConcern,coronavirusIntent_Mask,coronavirusIntent_SixFeet,coronavirusIntent_WashHands,politicalBelief
California_UnitedStates,4,6.856288659793812,77.78688524590164,78.3381443298969,78.95876288659794,5.021030927835056
California_UnitedStates,5,6.7562200956937835,79.09808612440192,79.08213716108453,77.3676236044657,4.890430622009569
California_UnitedStates,6,6.431939908556501,78.7949052906597,77.92292619203135,77.86283474853037,4.868843892880471
Florida_UnitedStates,4,6.783291139240507,81.69135802469135,80.88860759493672,80.6759493670886,5.274177215189874
Florida_UnitedStates,5,7.0233590733590745,75.2007722007722,79.93436293436294,79.38416988416988,5.324034749034751
Florida_UnitedStates,6,6.469913043478266,73.90521739130435,78.27130434782609,78.67304347826087,5.073217391304345
Georgia_UnitedStates,4,7.366244725738401,81.26829268292683,79.74261603375527,79.9831223628692,5.377215189873419
Georgia_UnitedStates,5,7.039130434782614,73.53686200378071,79.0226843100189,78.64272211720227,5.344423440453682
Georgia_UnitedStates,6,6.549842767295596,71.25471698113208,76.26886792452831,78.19339622641509,5.184276729559751
NewYork_UnitedStates,4,7.545965770171156,80.98901098901099,80.57457212713936,81.35941320293398,5.509290953545229
NewYork_UnitedStates,5,7.113039309683603,82.79290508149569,79.3307766059444,78.17066155321189,5.114285714285712
NewYork_UnitedStates,6,6.837652582159626,82.18591549295775,78.83849765258216,77.98403755868544,4.919624413145544
