STNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Florida,2019 Estimate,30-34,1379606,699679,679927,521905,495380,133740,138574,4877,3736,24376,26404,1022,1065,13759,14768,533462,507694,141088,146678,8410,7238,29351,31957,2273,2438,479188,479510,322213,313996,121429,126916,1803,1645,23354,25458,525,629,9864,10866,330261,322775,126158,132332,4167,4067,27599,30260,1523,1773,220491,200417,199692,181384,12311,11658,3074,2091,1022,946,497,436,3895,3902,203201,184919,14930,14346,4243,3171,1752,1697,750,665
Florida,2019 Estimate,35-39,1336741,666425,670316,503675,491921,121837,131733,4498,3741,23354,28434,1107,1107,11954,13380,513626,503015,128115,138870,7746,7278,27686,33467,2218,2296,447152,461013,304202,301818,110293,119988,1609,1627,22351,27428,540,634,8157,9518,310668,309378,114005,124455,3715,4062,26029,31756,1431,1616,219273,209303,199473,190103,11544,11745,2889,2114,1003,1006,567,473,3797,3862,202958,193637,14110,14415,4031,3216,1657,1711,787,680
Florida,2019 Estimate,40-44,1263790,624191,639599,478215,475494,107833,120234,4040,3442,22288,27338,1019,968,10796,12123,487001,485355,113589,126786,7057,6674,26124,31928,2087,2089,412135,427924,283842,282197,97671,108948,1515,1530,21413,26354,535,533,7159,8362,289328,288642,100976,112874,3477,3747,24591,30234,1371,1478,212056,211675,194373,193297,10162,11286,2525,1912,875,984,484,435,3637,3761,197673,196713,12613,13912,3580,2927,1533,1694,716,611
Florida,2019 Estimate,45-49,1340417,658894,681523,517300,519977,105012,119282,4050,3570,22536,27213,907,795,9089,10686,524598,528373,109498,124830,6958,6935,25834,31197,1837,1838,454031,473681,327677,327782,95734,109438,1750,1730,21791,26411,501,496,6578,7824,332662,333576,98617,113095,3871,4221,24597,29836,1293,1373,204863,207842,189623,192195,9278,9844,2300,1840,745,802,406,299,2511,2862,191936,194797,10881,11735,3087,2714,1237,1361,544,465
Florida,2019 Estimate,5-9,1166350,596090,570260,411742,392386,132668,128558,3054,2792,16162,15959,820,802,31644,29763,440771,419702,153323,147834,7432,6980,26409,25673,2251,2153,403194,385691,242446,230099,119874,116345,1166,1090,14957,14752,411,370,24340,23035,264683,251145,135576,131104,3993,3828,23374,22782,1503,1449,192896,184569,169296,162287,12794,12213,1888,1702,1205,1207,409,432,7304,6728,176088,168557,17747,16730,3439,3152,3035,2891,748,704
Florida,2019 Estimate,50-54,1368978,669084,699894,535497,549164,101482,113048,3785,3572,19387,24054,793,789,8140,9267,542080,556437,105220,117525,6898,7026,22031,27145,1679,1775,483986,509087,363731,371721,93171,104649,1958,2031,18822,23327,442,454,5862,6905,368207,376869,95451,107601,4331,4770,21071,25987,1179,1286,185098,190807,171766,177443,8311,8399,1827,1541,565,727,351,335,2278,2362,173873,179568,9769,9924,2567,2256,960,1158,500,489
Florida,2019 Estimate,55-59,1489510,715912,773598,586205,622132,100229,115439,3728,3572,17347,22609,656,765,7747,9081,592299,629289,103405,119579,6997,7325,19936,25548,1542,1728,551033,595209,432381,455409,93213,107946,2248,2310,16809,21987,448,510,5934,7047,436885,460749,95264,110735,4934,5439,19006,24498,1203,1330,164879,178389,153824,166723,7016,7493,1480,1262,538,622,208,255,1813,2034,155414,168540,8141,8844,2063,1886,930,1050,339,398
Florida,2019 Estimate,60-64,1408845,659081,749764,546883,612552,87052,104391,3202,3317,14825,21004,529,613,6590,7887,551961,618788,89738,107724,6066,6833,17118,23607,1293,1349,537939,606594,434213,478948,81548,98259,2137,2312,14413,20511,359,414,5269,6150,438141,483642,83422,100512,4579,5245,16417,22756,988,1021,121142,143170,112670,133604,5504,6132,1065,1005,412,493,170,199,1321,1737,113820,135146,6316,7212,1487,1588,701,851,305,328
Florida,2019 Estimate,65-69,1295884,595312,700572,507178,588164,66709,83924,2678,2658,13162,19279,441,498,5144,6049,511255,592853,68677,86573,5177,5449,14771,21164,939,1127,500717,579515,419170,474665,62274,78769,1918,1948,12823,18924,307,369,4225,4840,422443,478292,63658,80611,4140,4360,14211,20560,746,921,94595,121057,88008,113499,4435,5155,760,710,339,355,134,129,919,1209,88812,114561,5019,5962,1037,1089,560,604,193,206
Florida,2019 Estimate,70-74,1169485,541247,628238,476910,544816,47256,61876,1986,1996,10751,14546,374,344,3970,4660,480082,548481,48728,63940,4048,4179,11913,15899,781,793,467459,531346,407641,453584,44228,58140,1415,1440,10514,14249,275,247,3386,3686,410289,456360,45356,59561,3267,3324,11539,15401,631,643,73788,96892,69269,91232,3028,3736,571,556,237,297,99,97,584,974,69793,92121,3372,4379,781,855,374,498,150,150
Florida,2019 Estimate,75-79,870367,398693,471674,357530,416617,30154,41293,1167,1228,7282,9312,189,190,2371,3034,359463,419003,31010,42565,2360,2699,7963,10196,424,527,345171,396281,306970,344991,28063,38780,917,881,7139,9122,142,135,1940,2372,308537,346788,28659,39663,1984,2133,7696,9846,351,420,53522,75393,50560,71626,2091,2513,250,347,143,190,47,55,431,662,50926,72215,2351,2902,376,566,267,350,73,107
Florida,2019 Estimate,80-84,580147,259548,320599,234144,283749,18551,28632,673,757,4696,5530,103,136,1381,1795,235262,285189,19020,29350,1406,1657,5070,6052,251,319,222114,264066,198465,229718,17266,26881,535,551,4616,5427,70,91,1162,1398,199402,230824,17604,27360,1207,1316,4932,5838,199,234,37434,56533,35679,54031,1285,1751,138,206,80,103,33,45,219,397,35860,54365,1416,1990,199,341,138,214,52,85
Florida,2019 Estimate,85_plus,581454,234271,347183,215590,311451,13947,28045,501,707,3222,5147,69,110,942,1723,216378,312872,14239,28647,998,1627,3501,5632,159,262,202860,289007,185053,255394,13379,26527,404,502,3150,5035,58,77,816,1472,185730,256580,13603,26984,852,1336,3401,5462,135,210,31411,58176,30537,56057,568,1518,97,205,72,112,11,33,126,251,30648,56292,636,1663,146,291,100,170,24,52
Florida,2019 Estimate,Total,21477737,10497056,10980681,8149338,8448054,1750048,1883467,56673,52277,293261,341566,12484,12157,235252,243160,8354036,8657939,1885775,2024414,110656,109239,371494,423469,28853,29207,7700168,8113709,5605066,5831619,1601747,1733516,26957,27058,281085,329005,6822,7005,178491,185506,5757761,5988746,1699905,1835930,66005,68989,346880,398164,19981,20911,2796888,2866972,2544272,2616435,148301,149951,29716,25219,12176,12561,5662,5152,56761,57654,2596275,2669193,185870,188484,44651,40250,24614,25305,8872,8296
