year,month,state,laborForce,employedPopulation,unemployedPopulation,unemploymentRate
2020,1,Georgia,10314794,9958698,356096,28.966329304457226
2020,2,Georgia,10374616,10012182,362434,28.62484204020594
2020,3,Georgia,10334580,9867762,466818,22.138349420973483
2020,4,Georgia,8813517,7736590,1076927,8.183950258466915
2020,5,Georgia,4893311,4443612,449699,10.881302827002061
2020,6,Georgia,4936942,4544351,392591,12.575280635572389
2020,7,Georgia,5022760,4620067,402693,12.472926025533098
2020,8,Georgia,4906695,4611810,294885,16.639350933414722
2020,9,Georgia,4937096,4627590,309506,15.951535672975645
