year,month,state,laborForce,employedPopulation,unemployedPopulation,unemploymentRate
2020,1,Florida,20847634,20227184,620450,33.600828430977515
2020,2,Florida,20963794,20368708,595086,35.22817542338419
2020,3,Florida,20641884,19749132,892752,23.12163288348836
2020,4,Florida,18846619,16319308,2527311,7.457182357058549
2020,5,Florida,10864458,9423564,1440894,7.540081366151847
2020,6,Florida,9769148,8741182,1027966,9.503376570820436
2020,7,Florida,10053885,8884108,1169777,8.59470223811889
2020,8,Florida,10133142,9366610,766532,13.219463766679016
2020,9,Florida,10186220,9408047,778173,13.08991702359244
