STNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
California,2019 Estimate,10-14,2529137,1292852,1236285,921618,881835,83786,81123,26366,25279,166020,157076,6951,6679,88111,84293,1000587,957471,113853,110292,44398,42532,215980,204463,15426,14759,610071,579566,323170,306002,64768,62643,4761,4600,153060,144907,4262,4111,60050,57303,377044,357357,85781,82978,12087,11579,190849,180793,9864,9434,682781,656719,598448,575833,19018,18480,21605,20679,12960,12169,2689,2568,28061,26990,623543,600114,28072,27314,32311,30953,25131,23670,5562,5325
California,2019 Estimate,15-19,2533694,1292178,1241516,926818,889107,85242,80788,25378,24632,170418,164949,6817,6603,77505,75437,996553,957055,111530,106615,42612,41614,212981,205755,13902,13720,639236,608187,347755,327069,69104,65164,4862,4751,159173,154206,4450,4284,53892,52713,396256,374541,88334,84213,12320,12329,191884,185580,9158,9115,652942,633329,579063,562038,16138,15624,20516,19881,11245,10743,2367,2319,23613,22724,600297,582514,23196,22402,30292,29285,21097,20175,4744,4605
California,2019 Estimate,20-24,2647279,1359751,1287528,972941,920102,96915,88205,26703,25782,183855,176498,7338,6920,71999,70021,1037738,982994,122244,112734,44331,43402,220643,212101,13999,13690,708898,655289,392288,356232,81875,73399,5657,5440,173212,166199,4902,4553,50964,49466,438125,400657,100937,91785,14077,14055,201696,193685,9559,9351,650853,632239,580653,563870,15040,14806,21046,20342,10643,10299,2436,2367,21035,20555,599613,582337,21307,20949,30254,29347,18947,18416,4440,4339
California,2019 Estimate,25-29,3094978,1600681,1494297,1123261,1039031,121450,108344,30159,27442,247657,243866,8903,8419,69251,67195,1184220,1098325,143720,130345,49056,45882,283452,278401,16232,15767,904646,841648,500960,456979,105178,92499,6562,5995,236661,232734,6074,5884,49211,47557,544078,498920,121869,108799,15990,15170,264872,259657,11414,11177,696035,652649,622301,582052,16272,15845,23597,21447,10996,11132,2829,2535,20040,19638,640142,599405,21851,21546,33066,30712,18580,18744,4818,4590
California,2019 Estimate,30-34,2957974,1525571,1432403,1073972,979682,107752,98593,28177,24707,252204,265043,8696,8361,54770,56017,1121751,1028423,123422,115520,44078,40707,281182,294575,14876,14819,902304,864594,516620,474707,93328,83738,5827,5528,242116,254930,6166,6050,38247,39641,549752,509051,104403,95997,13446,13486,265194,278362,10778,10866,623267,567809,557352,504975,14424,14855,22350,19179,10088,10113,2530,2311,16523,16376,571999,519372,19019,19523,30632,27221,15988,16213,4098,3953
California,2019 Estimate,35-39,2780574,1416586,1363988,1012457,938360,92349,86925,26636,23800,230040,257380,8100,7745,47004,49778,1053493,981646,105216,101062,41309,39355,254357,283173,13524,13599,831973,816451,489050,449820,79200,73247,5431,5208,220666,248115,5783,5574,31843,34487,516538,479531,88091,83311,12219,12933,239600,268333,9790,9981,584613,547537,523407,488540,13149,13678,21205,18592,9374,9265,2317,2171,15161,15291,536955,502115,17125,17751,29090,26422,14757,14840,3734,3618
California,2019 Estimate,40-44,2501526,1255993,1245533,901677,858962,80096,79423,23177,21523,206567,238774,6845,6923,37631,39928,934433,893565,89888,90218,35663,34595,225923,259509,11187,11379,731693,733935,429067,398846,69485,67710,4935,4868,198167,230251,4816,5023,25223,27237,450635,422206,76197,75201,10661,11139,213345,246598,8030,8347,524300,511598,472610,460116,10611,11713,18242,16655,8400,8523,2029,1900,12408,12691,483798,471359,13691,15017,25002,23456,12578,12911,3157,3032
California,2019 Estimate,45-49,2515419,1252341,1263078,905401,877398,79096,80037,22043,20803,207504,243188,6464,6581,31833,35071,932816,907531,86427,88608,33167,32982,224145,261574,10215,10631,757677,769887,454600,429578,70689,69952,4954,5078,200286,235374,4748,4995,22400,24910,473562,450694,75818,76051,10692,11527,213954,250439,7671,8195,494664,493191,450801,447820,8407,10085,17089,15725,7218,7814,1716,1586,9433,10161,459254,456837,10609,12557,22475,21455,10191,11135,2544,2436
California,2019 Estimate,5-9,2478850,1266874,1211976,919831,881235,76389,73893,18589,17972,153073,144070,6281,6174,92711,88632,1003258,961064,107506,104314,37032,35739,207186,195289,14869,14130,604624,574465,321342,305193,64072,62122,4628,4344,145148,136534,4565,4413,64869,61859,379750,360834,85783,83404,12669,12280,187104,176093,10532,9835,662250,637511,598489,576042,12317,11771,13961,13628,7925,7536,1716,1761,27842,26773,623508,600230,21723,20910,24363,23459,20082,19196,4337,4295
California,2019 Estimate,50-54,2464326,1228030,1236296,905563,878859,81595,83642,20694,19692,185926,216441,6172,6763,28080,30899,929346,905002,87457,90665,31705,31787,200121,231851,9739,10745,778350,797949,494222,479706,74455,75424,5324,5461,179569,209812,4727,5227,20053,22319,510891,498255,78537,80406,11474,12492,191313,222501,7582,8506,449680,438347,411341,399153,7140,8218,15370,14231,6357,6629,1445,1536,8027,8580,418455,406747,8920,10259,20231,19295,8808,9350,2157,2239
California,2019 Estimate,55-59,2508777,1232488,1276289,916143,917211,84365,88706,19402,19657,179519,214480,5998,6684,27061,29551,938910,941787,89442,95093,31116,32635,192672,228401,9580,10639,855869,891584,572604,567358,78215,81751,5977,6411,174085,208620,4827,5507,20161,21937,589230,585199,81801,86375,13326,14812,185303,220249,7781,8777,376619,384705,343539,349853,6150,6955,13425,13246,5434,5860,1171,1177,6900,7614,349680,356588,7641,8718,17790,17823,7369,8152,1799,1862
California,2019 Estimate,60-64,2277858,1099031,1178827,821778,852575,71482,78671,15465,16500,162978,201281,5031,5296,22297,24504,840441,872832,75528,83812,25638,28157,173655,212361,7880,8373,809540,867004,557447,568109,66845,73206,5212,6042,158715,196633,4196,4377,17125,18637,571547,583198,69799,76992,12002,14031,167906,205980,6620,6954,289491,311823,264331,284466,4637,5465,10253,10458,4263,4648,835,919,5172,5867,268894,289634,5729,6820,13636,14126,5749,6381,1260,1419
California,2019 Estimate,65-69,1889872,887346,1002526,667728,731409,51024,61253,10908,12047,138525,175925,3548,3939,15613,17953,680783,746302,53935,65070,18463,21169,145635,183458,5450,6171,685907,770544,482862,518445,47970,57616,4071,4856,135763,172442,3010,3295,12231,13890,492867,529685,50111,60428,9395,11430,142027,178912,4613,5178,201439,231982,184866,212964,3054,3637,6837,7191,2762,3483,538,644,3382,4063,187916,216617,3824,4642,9068,9739,3608,4546,837,993
California,2019 Estimate,70-74,1496798,689389,807409,529002,602160,34957,45746,7401,8682,104673,135003,2530,2860,10826,12958,538004,613087,36988,48198,12796,15315,109481,140441,3902,4489,553565,641124,403796,448627,32955,43278,3170,3800,102816,132672,2203,2448,8625,10299,410845,457168,34460,45180,7136,8754,107003,137375,3390,3844,135824,166285,125206,153533,2002,2468,4231,4882,1857,2331,327,412,2201,2659,127159,155919,2528,3018,5660,6561,2478,3066,512,645
California,2019 Estimate,75-79,1017681,453052,564629,347896,426026,22727,32676,4473,5387,70136,90270,1481,1734,6339,8536,353203,433099,23861,34347,7565,9751,72999,93951,2293,2793,369625,449884,270398,319332,21595,31142,2076,2456,69089,88732,1323,1496,5144,6726,274644,324810,22458,32415,4380,5674,71647,91877,2043,2414,83427,114745,77498,106694,1132,1534,2397,2931,1047,1538,158,238,1195,1810,78559,108289,1403,1932,3185,4077,1352,2074,250,379
California,2019 Estimate,80-84,683918,292317,391601,221740,292829,15355,22760,2495,3404,47939,66043,891,1157,3897,5408,225005,297333,15976,23730,4215,5998,49922,68523,1411,1887,238072,311961,170909,218491,14613,21751,1252,1478,47309,64986,812,1004,3177,4251,173528,221953,15086,22485,2521,3347,49061,67142,1276,1615,54245,79640,50831,74338,742,1009,1243,1926,630,1057,79,153,720,1157,51477,75380,890,1245,1694,2651,861,1381,135,272
California,2019 Estimate,85_plus,749846,280289,469557,213775,355588,12007,23536,1971,3217,47742,79645,724,1183,4070,6388,217219,360902,12677,24672,3674,6285,49845,82542,1269,2077,230940,383770,167291,275019,11399,22432,1005,1502,47170,78534,686,1086,3389,5197,170118,279254,11922,23353,2303,3838,49050,81066,1176,1873,49349,85787,46484,80569,608,1104,966,1715,572,1111,38,97,681,1191,47101,81648,755,1319,1371,2447,795,1476,93,204
California,2019 Estimate,Total,39512223,19644854,19867369,14261348,14163391,1268935,1283822,329953,319909,2902884,3208061,99456,100349,782278,791837,14951446,14859627,1503434,1525414,544786,544465,3323362,3626713,180779,184224,11812319,12125024,7217744,7206004,1106201,1115162,80220,82116,2782922,3086116,72458,73991,552774,561635,7702319,7696578,1274199,1289102,189358,201051,3114651,3415789,131874,135712,7832535,7742345,7043604,6957387,162734,168660,249733,237793,119962,121945,26998,26358,229504,230202,7249127,7163049,229235,236312,355428,343414,208711,210924,48905,48512
