year,month,state,laborForce,employedPopulation,unemployedPopulation,unemploymentRate
2020,1,NewYork,19055448,18273170,782278,24.358920997394787
2020,2,NewYork,19133234,18381802,751432,25.462362529144354
2020,3,NewYork,18863268,18061704,801564,23.533077832836803
2020,4,NewYork,18082393,15360646,2721747,6.643671509512089
2020,5,NewYork,9064230,7778856,1285374,7.051823049167013
2020,6,NewYork,9438252,7976844,1461408,6.458327859160481
2020,7,NewYork,9687507,8139777,1547730,6.259171173266655
2020,8,NewYork,9521648,8321531,1200117,7.933933108188619
